pc_ts,phone_ts,offset_ms
1746293630601,1746293630836,235
1746293631203,1746293631416,213
1746293631787,1746293631999,212
1746293632365,1746293632576,211
1746293632946,1746293633154,208
1746293633521,1746293633732,211
1746293634095,1746293634309,214
1746293634691,1746293634900,209
1746293635266,1746293635474,208
1746293635838,1746293636050,212
1746293636433,1746293636650,217
1746293637019,1746293637230,211
1746293637599,1746293637807,208
1746293638166,1746293638375,209
1746293638744,1746293638953,209
1746293639316,1746293639522,206
1746293639889,1746293640098,209
1746293640469,1746293640677,208
1746293641044,1746293641258,214
1746293641628,1746293641839,211
